# Every method of every API this server can reach, and the verdict on it.
#
# Phase 4's last deliverable in §16: the discovery documents diffed
# against what the client calls, so that the gap between the API and this
# server is a set of decisions rather than an accident.
#
# Columns, tab-separated: method, verdict, reason.
# A verdict of `used` names the gapi.Client method that implements it;
# `out` gives the reason it is deliberately not used.
#
# The HTTP verb and the path used to sit between the name and the
# verdict. They were typed by hand and read by nothing — a sibling
# repository found the same two dead columns in its own copy — so a
# method that kept its name and moved path was invisible to every gate
# here. They live in testdata/api-methods.json now, which `gates
# api-diff` writes from the discovery documents and nobody edits.
#
# That split is what let completeness move into `make check`. It used to
# rest on api-diff alone, which is manual and needs the network, so
# CONTRIBUTING claimed this record was held to the API while CI held no
# such thing. `gates api-coverage` now fails on a method in the snapshot
# with no verdict here, and on a verdict here for a method the snapshot
# no longer has.
#
# Three parameters are deliberately unused and have no row of their own,
# because a row is per method:
#   useDomainAdminAccess  an administrator acting across an organisation
#                         is not what a per-user server is for.
#   supportsTeamDrives    the pre-2020 spelling of supportsAllDrives,
#                         which every request already carries.
#   enforceSingleParent   Google documents it as deprecated and Drive
#                         gives a file one parent regardless.
drivelabels.labels.delete	out	this server applies labels, it does not define them: creating, publishing, disabling or permissioning a definition is an administrator's job in the admin console, and a server that could do it would be a different tool
drivelabels.labels.delta	out	this server applies labels, it does not define them: creating, publishing, disabling or permissioning a definition is an administrator's job in the admin console, and a server that could do it would be a different tool
drivelabels.labels.disable	out	this server applies labels, it does not define them: creating, publishing, disabling or permissioning a definition is an administrator's job in the admin console, and a server that could do it would be a different tool
drivelabels.labels.enable	out	this server applies labels, it does not define them: creating, publishing, disabling or permissioning a definition is an administrator's job in the admin console, and a server that could do it would be a different tool
drivelabels.labels.get	out	the listing carries every definition this account may use, and a label is always reached from that listing rather than by an id typed from nowhere
drivelabels.labels.list	used	Client.ListLabelDefinitions
drivelabels.labels.locks.list	out	this server applies labels, it does not define them: creating, publishing, disabling or permissioning a definition is an administrator's job in the admin console, and a server that could do it would be a different tool
drivelabels.labels.permissions.batchDelete	out	this server applies labels, it does not define them: creating, publishing, disabling or permissioning a definition is an administrator's job in the admin console, and a server that could do it would be a different tool
drivelabels.labels.permissions.batchUpdate	out	this server applies labels, it does not define them: creating, publishing, disabling or permissioning a definition is an administrator's job in the admin console, and a server that could do it would be a different tool
drivelabels.labels.permissions.create	out	this server applies labels, it does not define them: creating, publishing, disabling or permissioning a definition is an administrator's job in the admin console, and a server that could do it would be a different tool
drivelabels.labels.permissions.delete	out	this server applies labels, it does not define them: creating, publishing, disabling or permissioning a definition is an administrator's job in the admin console, and a server that could do it would be a different tool
drivelabels.labels.permissions.list	out	this server applies labels, it does not define them: creating, publishing, disabling or permissioning a definition is an administrator's job in the admin console, and a server that could do it would be a different tool
drivelabels.labels.publish	out	this server applies labels, it does not define them: creating, publishing, disabling or permissioning a definition is an administrator's job in the admin console, and a server that could do it would be a different tool
drivelabels.labels.revisions.locks.list	out	this server applies labels, it does not define them: creating, publishing, disabling or permissioning a definition is an administrator's job in the admin console, and a server that could do it would be a different tool
drivelabels.labels.revisions.permissions.batchDelete	out	this server applies labels, it does not define them: creating, publishing, disabling or permissioning a definition is an administrator's job in the admin console, and a server that could do it would be a different tool
drivelabels.labels.revisions.permissions.batchUpdate	out	this server applies labels, it does not define them: creating, publishing, disabling or permissioning a definition is an administrator's job in the admin console, and a server that could do it would be a different tool
drivelabels.labels.revisions.permissions.create	out	this server applies labels, it does not define them: creating, publishing, disabling or permissioning a definition is an administrator's job in the admin console, and a server that could do it would be a different tool
drivelabels.labels.revisions.permissions.delete	out	this server applies labels, it does not define them: creating, publishing, disabling or permissioning a definition is an administrator's job in the admin console, and a server that could do it would be a different tool
drivelabels.labels.revisions.permissions.list	out	this server applies labels, it does not define them: creating, publishing, disabling or permissioning a definition is an administrator's job in the admin console, and a server that could do it would be a different tool
drivelabels.labels.revisions.updatePermissions	out	this server applies labels, it does not define them: creating, publishing, disabling or permissioning a definition is an administrator's job in the admin console, and a server that could do it would be a different tool
drivelabels.labels.updateLabelCopyMode	out	this server applies labels, it does not define them: creating, publishing, disabling or permissioning a definition is an administrator's job in the admin console, and a server that could do it would be a different tool
drivelabels.labels.updateLabelEnabledAppSettings	out	this server applies labels, it does not define them: creating, publishing, disabling or permissioning a definition is an administrator's job in the admin console, and a server that could do it would be a different tool
drivelabels.labels.updatePermissions	out	this server applies labels, it does not define them: creating, publishing, disabling or permissioning a definition is an administrator's job in the admin console, and a server that could do it would be a different tool
drivelabels.limits.getLabel	out	the limits on how big a label may be matter to whoever designs one, which is not this server
drivelabels.users.getCapabilities	out	whether the account may use labels at all is answered by the listing succeeding or being refused, which is one call rather than two
driveactivity.activity.query	used	Client.QueryActivity
